,x,y,z
144,119892,482822,-1.6464285714285716
145,120006,482817,-1.7111111111111112
146,120124,482813,-1.7768292682926832
147,120616,482815,-1.8611494252873564
148,120835,482810,-1.9149206349206351
149,123994,486512,-0.8655555555555554
150,118973,482674,-1.622549019607843
151,124003,486537,-1.4564285714285714
152,119181,482672,-1.8531372549019607
153,119262,482657,-1.771666666666667
154,119508,482656,-1.5751219512195123
155,119640,482655,-1.655772357723577
156,120138,482650,-1.8394308943089426
157,120380,482701,-1.7931481481481484
158,120379,482462,-1.8816666666666662
159,119032,482331,-1.6049593495934962
160,119151,482331,-1.8135042735042732
161,119290,482330,-1.7944166666666668
162,119450,482330,-1.7602500000000003
163,119647,482325,-1.8504444444444446
164,119648,482433,-1.7899074074074075
165,120015,482333,-1.6644047619047615
166,120605,482258,-1.8184615384615386
167,120607,482138,-1.8549462365591391
168,120964,482003,-1.8661788617886177
169,120874,482002,-1.8333333333333328
170,120608,481995,-1.9162601626016262
171,120572,481897,-1.7147368421052627
172,120495,481992,-1.7341441441441439
173,120429,481833,-1.7728703703703705
174,120313,481988,-1.7270370370370367
175,120157,481981,-1.8509756097560979
176,120123,482217,-1.7436666666666665
177,120054,481982,-1.7804878048780488
178,119864,482117,-1.6744444444444446
179,119858,482220,-1.7214444444444446
180,119777,482152,-1.652222222222222
181,119576,482101,-1.6947863247863244
182,119438,482220,-1.821544715447155
183,119438,482104,-1.5789999999999997
184,119437,481977,-2.015040650406504
185,119440,481861,-1.8001626016260164
186,119028,482098,-1.495897435897436
187,119030,481964,-1.5985000000000003
188,120399,482345,-1.7603252032520325
189,120401,482311,-1.7587500000000003
190,120505,482812,-1.7201282051282052
191,119823,482653,-1.5864102564102565
192,119006,481877,-3.516354166666667
193,119006,481877,-3.4678124999999995
194,119072,482664,-1.770119047619048
195,120610,482649,-1.7469135802469138
196,120764,482649,-1.8042307692307697
197,120919,482648,-1.7783950617283948
198,120376,482584,-1.7918181818181822
199,121065,482820,-1.7866666666666666
200,121074,482192,-1.8142735042735045
201,121194,482810,-2.2030208333333334
202,121316,482726,-1.8929166666666666
203,121220,482011,-1.5750000000000006
204,121352,482822,-1.9018749999999998
205,121359,482617,-1.758888888888889
206,122348,481237,-3.443229166666667
207,122348,481237,-3.4538709677419352
208,123477,482883,-3.2734959349593504
209,125553,481450,-4.124731182795699
210,125353,481380,-3.22
211,124635,481777,-2.158148148148148
212,124825,481411,-2.0588888888888888
213,126035,482825,-2.672276422764228
214,126035,482825,-2.8570085470085465
215,128040,481290,-3.217967479674796
216,127377,482190,-3.7352499999999993
217,127301,482135,-3.7321666666666666
218,127221,482078,-3.6809523809523803
219,127418,481992,-3.537301587301587
220,127475,481905,-3.4901587301587296
221,127145,482024,-3.658492063492063
222,127061,481976,-3.5567676767676772
223,126869,481859,-3.4369791666666667
224,126374,481821,-3.827878787878788
225,126766,481446,-3.540111111111111
226,122509,485266,-1.0002380952380956
227,126730,481282,-3.9393939393939394
228,127913,481231,-3.5685858585858594
229,127804,481185,-3.668888888888889
230,127706,481144,-3.57959595959596
231,126580,481032,-3.6222222222222222
232,126818,481024,-3.480987654320988
233,127797,481013,-3.6190123456790126
234,128001,481101,-3.7672463768115954
235,117698,479908,-2.617317073170731
236,117698,479908,-3.9802857142857127
237,119756,480534,-4.414920634920634
238,119756,480534,-3.8956589147286818
239,125690,480466,-3.405
240,125581,480407,-3.5914583333333328
241,125527,480277,-3.803737373737374
242,125591,480177,-3.7304301075268826
243,124288,479834,-4.296904761904761
244,124385,479655,-4.529111111111111
245,124557,479347,-4.08904761904762
246,124694,479377,-3.87952380952381
247,121158,492958,-1.386666666666667
248,125511,480625,-3.626666666666667
249,125470,479195,-4.3698611111111125
250,127069,481660,-3.8930769230769227
251,126701,480685,-3.5419999999999994
252,127146,481781,-3.2905128205128205
253,123972,486178,-0.20515151515151517
254,125882,480144,-3.394367816091953
255,125952,480166,-3.608125000000001
256,124044,486294,-0.3535897435897436
