,OBJECTNUMMER,Soortnaam_NL,Boomnummer,Soortnaam_WTS,Boomtype,Boomhoogte,Plantjaar,Eigenaar,Beheerder,Categorie,SOORT_KORT,SDVIEW,RADIUS,WKT_LNG_LAT,WKT_LAT_LNG,LNG,LAT,Unnamed: 17
78572,78573,Meidoorn,521887,Crataegus lavalleei,Boom niet vrij uitgroeiend,6 tot 9 m.,1985,Gemeente Amsterdam,Stadsdeel Zuid,Crataegus,Crataegus,K,2,POINT(4.897845 52.354969),POINT(52.354969 4.897845),4.897845,52.354969,
78573,78574,Kraakwilg,521886,Salix fragilis,Gekandelaberde boom,9 tot 12 m.,1970,Gemeente Amsterdam,Stadsdeel Zuid,Salix,Salix,K,3,POINT(4.89776 52.354913),POINT(52.354913 4.89776),4.89776,52.354913,
78574,78575,Tamme kastanje,521885,Castanea sativa,Boom niet vrij uitgroeiend,6 tot 9 m.,1995,Gemeente Amsterdam,Stadsdeel Zuid,Overig,Castanea,K,2,POINT(4.898056 52.354984),POINT(52.354984 4.898056),4.898056,52.354984,
78575,78576,Veldesdoorn,521884,Acer campestre,Boom vrij uitgroeiend,6 tot 9 m.,1980,Gemeente Amsterdam,Stadsdeel Zuid,Acer,Acer,K,2,POINT(4.894196 52.354508),POINT(52.354508 4.894196),4.894196,52.354508,
78579,78580,Gewone vleugelnoot,521880,Pterocarya fraxinifolia,Boom vrij uitgroeiend,Onbekend,1950,Gemeente Amsterdam,Stadsdeel Zuid,Vleugelnoot,Pterocarya,K,1,POINT(4.896065 52.354797),POINT(52.354797 4.896065),4.896065,52.354797,
78580,78581,Zachte berk,521879,Betula pubescens,Boom niet vrij uitgroeiend,9 tot 12 m.,1975,Gemeente Amsterdam,Stadsdeel Zuid,Betula,Betula,K,3,POINT(4.894316 52.354039),POINT(52.354039 4.894316),4.894316,52.354039,
78581,78582,Vogelkers,521878,Prunus padus,Boom vrij uitgroeiend,6 tot 9 m.,1999,Gemeente Amsterdam,Stadsdeel Zuid,Prunus,Prunus,K,2,POINT(4.894361 52.354117),POINT(52.354117 4.894361),4.894361,52.354117,
78582,78583,Meidoorn (cultuurvariëteit),521874,Crataegus pinnatifida major,Boom niet vrij uitgroeiend,6 tot 9 m.,1960,Gemeente Amsterdam,Stadsdeel Zuid,Crataegus,Crataegus,K,2,POINT(4.897648 52.355141),POINT(52.355141 4.897648),4.897648,52.355141,
78618,78619,Gewone beuk,522151,Fagus sylvatica,Boom niet vrij uitgroeiend,Onbekend,1985,Gemeente Amsterdam,Stadsdeel Zuid,Overig,Fagus,K,1,POINT(4.898542 52.35468),POINT(52.35468 4.898542),4.898542,52.35468,
78619,78620,Veldesdoorn,522150,Acer campestre,Boom niet vrij uitgroeiend,9 tot 12 m.,1970,Gemeente Amsterdam,Stadsdeel Zuid,Acer,Acer,K,3,POINT(4.898535 52.354651),POINT(52.354651 4.898535),4.898535,52.354651,
78620,78621,Eenstijlige meidoorn,522149,Crataegus monogyna,Boom niet vrij uitgroeiend,6 tot 9 m.,1957,Gemeente Amsterdam,Stadsdeel Zuid,Crataegus,Crataegus,K,2,POINT(4.898389 52.354626),POINT(52.354626 4.898389),4.898389,52.354626,
78621,78622,Eenstijlige meidoorn,522148,Crataegus monogyna,Boom niet vrij uitgroeiend,6 tot 9 m.,1957,Gemeente Amsterdam,Stadsdeel Zuid,Crataegus,Crataegus,K,2,POINT(4.898356 52.354654),POINT(52.354654 4.898356),4.898356,52.354654,
78622,78623,Appel,522147,Malus,Boom niet vrij uitgroeiend,Onbekend,1975,Gemeente Amsterdam,Stadsdeel Zuid,Overig,Malus,K,1,POINT(4.898413 52.354709),POINT(52.354709 4.898413),4.898413,52.354709,
78623,78624,Eenstijlige meidoorn,522146,Crataegus monogyna,Boom vrij uitgroeiend,tot 6 m.,1980,Gemeente Amsterdam,Stadsdeel Zuid,Crataegus,Crataegus,K,1,POINT(4.898503 52.354786),POINT(52.354786 4.898503),4.898503,52.354786,
78629,78630,Gewone haagbeuk,521873,Carpinus betulus,Boom vrij uitgroeiend,Onbekend,1985,Gemeente Amsterdam,Stadsdeel Zuid,Carpinus,Carpinus,K,1,POINT(4.897343 52.354173),POINT(52.354173 4.897343),4.897343,52.354173,
78630,78631,Gewone beuk,521872,Fagus sylvatica,Boom niet vrij uitgroeiend,Onbekend,1975,Gemeente Amsterdam,Stadsdeel Zuid,Overig,Fagus,K,1,POINT(4.898084 52.354168),POINT(52.354168 4.898084),4.898084,52.354168,
78631,78632,Scherpe hulst (cultuurvariëteit),521871,Ilex aquifolium `J.C. van Tol`,Boom vrij uitgroeiend,6 tot 9 m.,1975,Gemeente Amsterdam,Stadsdeel Zuid,Overig,Ilex,K,2,POINT(4.898085 52.354189),POINT(52.354189 4.898085),4.898085,52.354189,
78632,78633,Hollandse iep (cultuurvariëteit),521870,Ulmus hollandica `Commelin`,Boom niet vrij uitgroeiend,24 m. en hoger,1960,Gemeente Amsterdam,Stadsdeel Zuid,Ulmus,Ulmus,K,8,POINT(4.89426 52.354084),POINT(52.354084 4.89426),4.89426,52.354084,
78633,78634,Eenstijlige meidoorn,521869,Crataegus monogyna,Boom vrij uitgroeiend,6 tot 9 m.,1970,Gemeente Amsterdam,Stadsdeel Zuid,Crataegus,Crataegus,K,2,POINT(4.894889 52.354629),POINT(52.354629 4.894889),4.894889,52.354629,
78634,78635,Meidoorn (cultuurvariëteit),521868,Crataegus pinnatifida major,Boom vrij uitgroeiend,6 tot 9 m.,1980,Gemeente Amsterdam,Stadsdeel Zuid,Crataegus,Crataegus,K,2,POINT(4.897584 52.355146),POINT(52.355146 4.897584),4.897584,52.355146,
78635,78636,Gewone haagbeuk,521867,Carpinus betulus,Boom niet vrij uitgroeiend,Onbekend,1985,Gemeente Amsterdam,Stadsdeel Zuid,Carpinus,Carpinus,K,1,POINT(4.898008 52.354141),POINT(52.354141 4.898008),4.898008,52.354141,
78636,78637,Gewone haagbeuk,521866,Carpinus betulus,Boom niet vrij uitgroeiend,15 tot 18 m.,1980,Gemeente Amsterdam,Stadsdeel Zuid,Carpinus,Carpinus,K,5,POINT(4.897232 52.353986),POINT(52.353986 4.897232),4.897232,52.353986,
78637,78638,Veldesdoorn,521865,Acer campestre,Boom niet vrij uitgroeiend,Onbekend,1970,Gemeente Amsterdam,Stadsdeel Zuid,Acer,Acer,K,1,POINT(4.897345 52.353981),POINT(52.353981 4.897345),4.897345,52.353981,
78638,78639,Canadese populier (cultuurvariëteit),521864,Populus canadensis `Robusta`,Boom niet vrij uitgroeiend,24 m. en hoger,1962,Gemeente Amsterdam,Stadsdeel Zuid,Populus,Populus,K,8,POINT(4.894033 52.354437),POINT(52.354437 4.894033),4.894033,52.354437,
78639,78640,Veldesdoorn,521863,Acer campestre,Boom vrij uitgroeiend,Onbekend,1990,Gemeente Amsterdam,Stadsdeel Zuid,Acer,Acer,K,1,POINT(4.894087 52.354433),POINT(52.354433 4.894087),4.894087,52.354433,
78640,78641,Veldesdoorn,521861,Acer campestre,Boom niet vrij uitgroeiend,Onbekend,1975,Gemeente Amsterdam,Stadsdeel Zuid,Acer,Acer,K,1,POINT(4.897757 52.3541),POINT(52.3541 4.897757),4.897757,52.3541,
78641,78642,Amerikaanse eik,521860,Quercus rubra,Boom niet vrij uitgroeiend,6 tot 9 m.,1990,Gemeente Amsterdam,Stadsdeel Zuid,Quercus,Quercus,K,2,POINT(4.897561 52.354046),POINT(52.354046 4.897561),4.897561,52.354046,
78642,78643,Gewone haagbeuk,521859,Carpinus betulus,Boom vrij uitgroeiend,tot 6 m.,1980,Gemeente Amsterdam,Stadsdeel Zuid,Carpinus,Carpinus,K,1,POINT(4.897579 52.354053),POINT(52.354053 4.897579),4.897579,52.354053,
78643,78644,Veldesdoorn,521858,Acer campestre,Boom vrij uitgroeiend,Onbekend,1980,Gemeente Amsterdam,Stadsdeel Zuid,Acer,Acer,K,1,POINT(4.897626 52.354061),POINT(52.354061 4.897626),4.897626,52.354061,
78644,78645,Veldesdoorn,521857,Acer campestre,Boom vrij uitgroeiend,6 tot 9 m.,1990,Gemeente Amsterdam,Stadsdeel Zuid,Acer,Acer,K,2,POINT(4.893998 52.354415),POINT(52.354415 4.893998),4.893998,52.354415,
78693,78694,Eenstijlige meidoorn,521856,Crataegus monogyna,Boom niet vrij uitgroeiend,6 tot 9 m.,1960,Gemeente Amsterdam,Stadsdeel Zuid,Crataegus,Crataegus,K,2,POINT(4.894088 52.354371),POINT(52.354371 4.894088),4.894088,52.354371,
78696,78697,Veldesdoorn,521853,Acer campestre,Boom vrij uitgroeiend,Onbekend,1975,Gemeente Amsterdam,Stadsdeel Zuid,Acer,Acer,K,1,POINT(4.897389 52.354223),POINT(52.354223 4.897389),4.897389,52.354223,
78697,78698,Veldesdoorn,521852,Acer campestre,Boom vrij uitgroeiend,6 tot 9 m.,1990,Gemeente Amsterdam,Stadsdeel Zuid,Acer,Acer,K,2,POINT(4.894005 52.354462),POINT(52.354462 4.894005),4.894005,52.354462,
78698,78699,Gewone vlier,521851,Sambucus nigra,Boom vrij uitgroeiend,tot 6 m.,1972,Gemeente Amsterdam,Stadsdeel Zuid,Overig,Sambucus,K,1,POINT(4.893979 52.354354),POINT(52.354354 4.893979),4.893979,52.354354,
78699,78700,Veldesdoorn,521850,Acer campestre,Boom vrij uitgroeiend,Onbekend,1980,Gemeente Amsterdam,Stadsdeel Zuid,Acer,Acer,K,1,POINT(4.894052 52.354291),POINT(52.354291 4.894052),4.894052,52.354291,
78700,78701,Veldesdoorn,521849,Acer campestre,Boom vrij uitgroeiend,Onbekend,1990,Gemeente Amsterdam,Stadsdeel Zuid,Acer,Acer,K,1,POINT(4.897279 52.354188),POINT(52.354188 4.897279),4.897279,52.354188,
78701,78702,Treurwilg,521844,Salix sepulcralis `Chrysocoma`,Boom vrij uitgroeiend,Onbekend,1960,Gemeente Amsterdam,Stadsdeel Zuid,Salix,Salix,K,1,POINT(4.895467 52.353921),POINT(52.353921 4.895467),4.895467,52.353921,
78702,78703,Zachte berk,521843,Betula pubescens,Boom niet vrij uitgroeiend,Onbekend,1975,Gemeente Amsterdam,Stadsdeel Zuid,Betula,Betula,K,1,POINT(4.894649 52.353688),POINT(52.353688 4.894649),4.894649,52.353688,
78703,78704,Rode paardenkastanje,521842,Aesculus carnea,Boom niet vrij uitgroeiend,15 tot 18 m.,1930,Gemeente Amsterdam,Stadsdeel Zuid,Aesculus,Aesculus,K,5,POINT(4.894529 52.353662),POINT(52.353662 4.894529),4.894529,52.353662,
78704,78705,Zachte berk,521841,Betula pubescens,Boom niet vrij uitgroeiend,9 tot 12 m.,1990,Gemeente Amsterdam,Stadsdeel Zuid,Betula,Betula,K,3,POINT(4.894569 52.353741),POINT(52.353741 4.894569),4.894569,52.353741,
78705,78706,Eenstijlige meidoorn,521840,Crataegus monogyna,Boom vrij uitgroeiend,tot 6 m.,1980,Gemeente Amsterdam,Stadsdeel Zuid,Crataegus,Crataegus,K,1,POINT(4.894378 52.353765),POINT(52.353765 4.894378),4.894378,52.353765,
78706,78707,Noorse esdoorn,521839,Acer platanoides,Boom vrij uitgroeiend,6 tot 9 m.,2000,Gemeente Amsterdam,Stadsdeel Zuid,Acer,Acer,K,2,POINT(4.89417 52.354118),POINT(52.354118 4.89417),4.89417,52.354118,
78752,78753,Vogelkers,521837,Prunus padus,Boom vrij uitgroeiend,Onbekend,1990,Gemeente Amsterdam,Stadsdeel Zuid,Prunus,Prunus,K,1,POINT(4.894169 52.35411),POINT(52.35411 4.894169),4.894169,52.35411,
78753,78754,Zachte berk,521836,Betula pubescens,Boom vrij uitgroeiend,Onbekend,1975,Gemeente Amsterdam,Stadsdeel Zuid,Betula,Betula,K,1,POINT(4.894234 52.35412),POINT(52.35412 4.894234),4.894234,52.35412,
78757,78758,Veldesdoorn,521832,Acer campestre,Boom vrij uitgroeiend,Onbekend,1980,Gemeente Amsterdam,Stadsdeel Zuid,Acer,Acer,K,1,POINT(4.897358 52.35421),POINT(52.35421 4.897358),4.897358,52.35421,
78758,78759,Zwarte els,521831,Alnus glutinosa,Boom niet vrij uitgroeiend,Onbekend,1980,Gemeente Amsterdam,Stadsdeel Zuid,Alnus,Alnus,K,1,POINT(4.897733 52.355142),POINT(52.355142 4.897733),4.897733,52.355142,
78759,78760,Gewone plataan,521830,Platanus hispanica,Boom niet vrij uitgroeiend,18 tot 24 m.,1931,Gemeente Amsterdam,Stadsdeel Zuid,Platanus,Platanus,K,7,POINT(4.894401 52.353809),POINT(52.353809 4.894401),4.894401,52.353809,
78760,78761,Zwarte els,521829,Alnus glutinosa,Boom vrij uitgroeiend,18 tot 24 m.,1960,Gemeente Amsterdam,Stadsdeel Zuid,Alnus,Alnus,K,7,POINT(4.896073 52.354303),POINT(52.354303 4.896073),4.896073,52.354303,
78761,78762,Schietwilg (cultuurvariëteit),521828,Salix alba `Liempde`,Boom niet vrij uitgroeiend,18 tot 24 m.,1982,Gemeente Amsterdam,Stadsdeel Zuid,Salix,Salix,K,7,POINT(4.896014 52.354242),POINT(52.354242 4.896014),4.896014,52.354242,
