id,uuid,runnummer,boomhoogte,opkroonhoogte,kroondiameter,kroonoppervlak,stamdiameter,boomsoort,runnummer_attrs,bron_stam_positie,uid_gemeente
"6204",95995641-d484-4f92-8624-aceea13d44f9,"156",37.8822481396727,8.77303838723618,12.3704275505278,120.1875,"121",,"156",lufo,
"6205",1c55d45a-77be-46dc-9935-95c126edf88f,"156",29.8987477020123,7.2162558018924,9.90148700673831,77,"84",,"156",lufo,
"6206",f1b12dd4-f59a-459d-9ee9-16d5cbb729f9,"156",28.3550449902968,6.91523377310789,11.8428409211935,110.154355215121,"93",Populus nigra `Italica`,"156",lufo,"522378"
"6207",dbad6eed-3110-4ef5-a88a-89789af0f41e,"156",17.1767240627955,4.73546119224512,20.7986330157482,339.75,"97",,"156",lufo,
"6208",90989da0-beff-486a-b70a-ea0f7ae1b8ce,"156",30.6228018731332,7.35744636526098,7.47418122775032,43.875,"68",,"156",lufo,
"6209",ab21a045-05b8-4db6-a88d-a0fb6a44ea43,"156",34.8419397861824,8.18017825830557,6.43558803717438,32.5286734577795,"67",Fagus sylvatica,"156",gem,"522459"
"6210",c9ce4891-93b8-4cf3-94c3-8fe9d9bf0a10,"156",38.907615917486,8.97298510390976,7.99405144794553,50.1907585392287,"87",Populus canescens,"156",gem,"521901"
"6211",c437b61d-b086-4b84-9691-e56c5fabb928,"156",36.3827836251319,8.48064280690072,10.4711485478486,86.1149438567895,"102",Quercus cerris,"156",gem,"525351"
"6212",2ef0355d-2637-4a3a-8deb-150e6e89cba9,"156",21.4426053311943,5.56730803958288,10.1952673249026,81.6370150110657,"65",Platanus hispanica,"156",gem,"519566"
"6213",cecdb34e-5272-4582-8d35-a6b85586a765,"156",25.1879681743458,6.29765379399743,9.12979622893959,65.4654338428494,"68",Corylus colurna,"156",gem,"529946"
"6214",14ad3ed8-4381-41cb-aad9-cf7584f3abcd,"156",19.4100867146319,5.17096690935322,14.6850216234087,169.371004043734,"81",,"156",lufo,
"6215",b87be28a-4517-4596-86a5-81838cfde168,"156",9.71342230746273,3.28011734995523,9.34751644863225,68.625,"32",,"156",lufo,
"6216",f1585da5-deea-4b9c-b2bf-49ef65d9500c,"156",14.4242552376426,4.1987297713403,22.2783457651612,389.8125,"89",,"156",lufo,
"6217",2040058f-673a-4697-ad57-0d2ec92bfec2,"156",31.1824938807064,7.46658630673775,19.6131970227475,302.125,"150",Platanus hispanica,"156",lufo,"510470"
"6218",3232fffe-e212-4e56-876e-e7957af47802,"156",15.1362431464141,4.33756741355074,11.0132693449706,95.2625938822052,"53",Carpinus betulus `Frans Fontaine`,"156",lufo,"519537"
"6219",9ce96b86-454c-4654-966b-0f068414f3ca,"156",38.907615917486,8.97298510390976,7.67292948931593,46.2394112651126,"84",Crataegus monogyna,"156",gem,"524254"
"6220",09e56f51-553d-42f8-88b1-3917e4f877c5,"156",27.8753366589984,6.82169064850468,6.69922580195232,35.2483761057538,"58",Aesculus hippocastanum,"156",lufo,"525350"
"6221",045e66bc-9968-4890-bdf4-2ed405788862,"156",11.2550734635721,3.58073932539655,6.57952464247954,34,"27",,"156",lufo,
"6222",25d0d2ec-3037-4b7c-93af-ddd5ba75c9a4,"156",26.1279917125393,6.48095838394517,13.1065060096485,134.916089035456,"94",,"156",lufo,
"6223",54b797de-5f7d-41c0-8d77-27f6c20d2303,"156",12.4568187531366,3.81507965686164,10.7714415708387,91.125,"44",Corylus colurna,"156",lufo,"526299"
"6224",26ade0a8-e1e7-4f9f-9ba7-b1e79a06f8ba,"156",7.57726206206502,2.86356610210268,5.14774688818327,20.8125,"16",,"156",lufo,
"6225",25a6e55d-17ed-466f-ae48-e5a4e4cec375,"156",19.5140854318519,5.19124665921112,5.62069890705251,24.8125,"37",Acer campestre,"156",lufo,"521858"
"6226",1d272d1f-f078-472e-b203-3dbef2c84700,"156",37.1903719817034,8.63812253643217,11.1411226950761,97.4872445801686,"110",Populus canadensis,"156",lufo,"522292"
"6227",64704a21-fa01-4363-a85e-c204ca52c860,"156",38.907615917486,8.97298510390976,7.53342068367472,44.5732520890425,"83",Aesculus hippocastanum,"156",gem,"529395"
"6228",76c2786b-88ae-4d5d-a868-fd89cc84047a,"156",14.3538360492303,4.18499802959991,11.4517978111614,103,"52",,"156",lufo,
"6229",bef59f4a-f26b-4f2b-a694-94a6a196f871,"156",39.2623414282391,9.04215657850663,12.1245176983804,115.456616177372,"123",Populus canadensis,"156",lufo,"525422"
"6230",ef21ec18-efee-43f6-bb63-5bd0236d453f,"156",12.4125007502548,3.80643764629968,7.67899123684532,46.3125,"33",,"156",lufo,
"6231",bbc2874c-ca6a-4e5e-9873-1ea0b7986382,"156",25.6337189297723,6.3845751913056,17.0638204510778,228.6875,"115",Platanus hispanica,"156",lufo,"509110"
"6232",b5137527-193b-46d4-a860-c672ad84fd08,"156",13.8115607723739,4.07925435061292,10.8999616980107,93.3125,"48",Aesculus hippocastanum,"156",lufo,"530965"
"6233",b3c4b08d-ea1e-48ce-803f-031aa5382b58,"156",15.1314649824115,4.33663567157024,7.2361575630464,41.125,"37",,"156",lufo,
"6234",1e17d657-3561-4260-bd5c-7df83a355091,"156",36.8264979695448,8.56716710406124,9.47441653784668,70.5009274207658,"95",Carpinus betulus,"156",lufo,"522291"
"6235",71913a6d-6714-41c1-9e51-6b918ceb744a,"156",10.9173771617845,3.51488854654798,8.60735882889039,58.1875,"33",,"156",lufo,
"6236",d1644987-39a0-42b4-a684-6acd8d8856c3,"156",11.1685635589002,3.56386989398554,10.1788932577576,81.375,"39",,"156",lufo,
"6237",1e19af58-7939-44e5-a701-f0f3355ce1c6,"156",13.8661448777919,4.08989825116943,10.2645298151856,82.75,"46",Aesculus hippocastanum,"156",lufo,"530966"
"6238",0e59db22-dc7e-4bbf-b86b-a46cecb0cf0a,"156",9.0421822898783,3.14922554652627,6.90988298942671,37.5,"24",,"156",lufo,
"6239",1bc7e47d-68e4-4611-8bee-a733004f223d,"156",6.66508276564914,2.68569113930158,1.38197659788534,1.5,"5",,"156",lufo,
"6240",de3661f7-dcd3-4a87-ad76-a827f4f510ca,"156",11.8113212493908,3.6892076436312,9.7475894982227,74.625,"39",,"156",lufo,
"6241",c63480c4-2955-473d-adc0-eb38b2001736,"156",13.9666343780187,4.10949370371364,4.95877391173441,19.3125,"26",,"156",lufo,
"6242",7742bc07-eb39-4d4d-b8a1-6950f10972fe,"156",39.2623414282391,9.04215657850663,7.43267562970768,43.3890600122238,"83",Acer campestre,"156",gem,"522150"
"6243",46508ee3-9b4d-4c13-a6c5-9440081d8c55,"156",9.98201201624018,3.33249234316683,8.51907589177983,57,"30",Prunus avium `Plena`,"156",lufo,"524833"
"6244",5db24591-ceb5-44b7-bcc7-3ebb274dc984,"156",8.6683097600435,3.07632040320848,3.67806609005481,10.625,"14",,"156",lufo,
"6245",525c2274-90b3-473f-a06a-7b8600aed54a,"156",11.8504571856835,3.69683915120827,10.4489373125232,85.75,"41",Prunus avium `Plena`,"156",lufo,"524746"
"6246",91f316a0-4db7-4c80-a5db-21135c3e5689,"156",38.907615917486,8.97298510390976,10.5758623119787,87.8458920824651,"109",Acer campestre,"156",gem,"522461"
"6247",08af49d8-a97f-4246-879a-bf508ac72bb5,"156",21.7841052075755,5.63390051547722,9.4364819005769,69.9375,"62",Crataegus pinnatifida major,"156",lufo,"521868"
"6248",a45c1dd4-cf4a-4f27-bf4e-59c829f78d44,"156",11.0245196938911,3.53578134030877,9.38574775930848,69.1875,"36",Prunus avium `Plena`,"156",lufo,"524747"
"6249",303793fb-a016-4b62-aaea-8b72ccfe0b95,"156",33.6560458740355,7.94892894543691,9.60603357874263,72.4733075543335,"90",Populus canadensis,"156",gem,"525169"
"6250",abdfef45-3c03-4431-b8b4-c70817047308,"156",23.0071594271434,5.87239608829297,18.6971610813339,274.5625,"113",,"156",lufo,
"6251",a25dd6b3-0972-496c-9e02-1d4f8ba0ef99,"156",15.7182491281666,4.45105857999248,9.42382397147133,69.75,"48",,"156",lufo,
"6252",203f5827-cdd9-44b9-9aa4-b59e1595ef5a,"156",22.5472246223962,5.78270880136726,27.7917062956733,606.625,"153",,"156",lufo,
"6253",f20d7a72-ab71-4f3c-ab70-5b94d023e512,"156",39.1603939181127,9.02227681403198,7.59461242987804,45.3003036220142,"84",,"156",lufo,
"6254",a0e01987-1e1d-4e27-a3b2-f1243bbf1e5b,"156",34.8419397861824,8.18017825830557,6.77263870559129,36.025141715194,"70",Carpinus betulus,"156",gem,"521483"
"6255",9312df79-f200-4041-81bb-ba00bad617bb,"156",10.10504305445,3.35648339561776,6.25080303073616,30.6875,"24",,"156",lufo,
"6256",4dabc08c-e9ae-4500-be91-708f12e08a57,"156",10.5011540882396,3.43372504720672,8.72215929675249,59.75,"32",Corylus colurna,"156",lufo,"526125"
"6257",a2f815d0-0ac7-4f64-a9fb-c5c8a4ada324,"156",38.8201497317161,8.95592919768464,8.99612630870803,63.5625,"96",,"156",lufo,
"6258",6287f84c-2b55-4285-8070-6fbbd8ef6acb,"156",12.0627751787599,3.73824115985818,4.11703794484419,13.3125,"20",,"156",lufo,
"6259",512a916b-cd3f-445d-a13e-c108c5599a53,"156",41.0795598811018,9.39651417681485,13.7387719003886,148.246929740285,"141",Populus nigra,"156",lufo,"521937"
"6260",7f38758a-d070-4980-9bb6-417af93251ad,"156",28.8531546141981,7.01236514976864,16.2369998223725,207.0625,"121",,"156",lufo,
"6261",c0b11866-621e-4e37-b7a4-54a15c77c263,"156",17.9541380632583,4.88705692233538,8.96511272998879,63.125,"51",,"156",lufo,
"6262",91ab097d-e337-4240-8aae-9c87a5d32d09,"156",38.907615917486,8.97298510390976,5.49848028930623,23.7451668988004,"64",Fagus sylvatica,"156",gem,"521872"
"6263",5c793e3d-411f-4f99-9e77-8fbd944c3a3f,"156",34.8419397861824,8.18017825830557,12.5466473057319,123.636089740813,"115",Aesculus hippocastanum,"156",gem,"521403"
"6264",a7b3c7a8-51c2-42ff-a637-6db6ba175593,"156",16.4917755238332,4.60189622714747,11.1529034105679,97.6935212229294,"57",Salix fragilis,"156",lufo,"524259"
"6265",ce359fc0-a4b0-43a7-963f-5e0f31a2dce4,"156",21.4426053311943,5.56730803958288,15.378168433707,185.737291425906,"91",Platanus hispanica,"156",lufo,"519567"
"6266",27b80d76-759e-452a-a1b9-0f5bfac8c792,"156",38.907615917486,8.97298510390976,4.84956834046822,18.471239906206,"58",Acer campestre,"156",gem,"521900"
"6267",d14bbf77-2904-48c1-8346-062f3381beae,"156",36.8264979695448,8.56716710406124,11.0415742281731,95.7528863601355,"108",Acer campestre,"156",gem,"522314"
"6268",3331ff05-31f0-4691-94fd-c0884aeca66f,"156",14.8380037104808,4.27941072354376,8.53392123559088,57.1988295183035,"42",Salix fragilis,"156",gem,"581607"
"6269",56356e46-cc47-4817-ad9a-c856b014a0f8,"156",41.0795598811018,9.39651417681485,5.8336855146114,26.7285812980822,"70",Populus canescens,"156",gem,"522381"
"6270",486f27cf-8305-4846-af66-d6ec957b6fda,"156",25.1879681743458,6.29765379399743,10.8695900226766,92.7932122039494,"78",Alnus glutinosa,"156",gem,"521491"
"6271",d7016dc6-b999-4518-9afd-1b81cd9d004b,"156",32.6199798965765,7.74689607983242,6.48204481442857,33,"64",,"156",lufo,
