,OBJECTNUMMER,Soortnaam_NL,Boomnummer,Soortnaam_WTS,Boomtype,Boomhoogte,Plantjaar,Eigenaar,Beheerder,Categorie,SOORT_KORT,SDVIEW,RADIUS,WKT_LNG_LAT,WKT_LAT_LNG,LNG,LAT,Unnamed: 17
118462,118463,Iep (cultuurvariëteit),478486,Ulmus `Dodoens`,Boom niet vrij uitgroeiend,tot 6 m.,2005,Gemeente Amsterdam,Stadsdeel Oost,Ulmus,Ulmus,M,1,POINT(5.00143 52.356917),POINT(52.356917 5.00143),5.00143,52.356917,
118463,118464,Iep (cultuurvariëteit),478485,Ulmus `Dodoens`,Boom niet vrij uitgroeiend,6 tot 9 m.,2005,Gemeente Amsterdam,Stadsdeel Oost,Ulmus,Ulmus,M,2,POINT(5.001332 52.35693),POINT(52.35693 5.001332),5.001332,52.35693,
118464,118465,Iep (cultuurvariëteit),478484,Ulmus `Dodoens`,Boom niet vrij uitgroeiend,tot 6 m.,2005,Gemeente Amsterdam,Stadsdeel Oost,Ulmus,Ulmus,M,1,POINT(5.001199 52.357),POINT(52.357 5.001199),5.001199,52.357,
118465,118466,Iep (cultuurvariëteit),478483,Ulmus `Dodoens`,Boom niet vrij uitgroeiend,6 tot 9 m.,2005,Gemeente Amsterdam,Stadsdeel Oost,Ulmus,Ulmus,M,2,POINT(5.001297 52.356988),POINT(52.356988 5.001297),5.001297,52.356988,
118466,118467,Iep (cultuurvariëteit),478482,Ulmus `Dodoens`,Boom niet vrij uitgroeiend,tot 6 m.,2005,Gemeente Amsterdam,Stadsdeel Oost,Ulmus,Ulmus,M,1,POINT(5.001165 52.357059),POINT(52.357059 5.001165),5.001165,52.357059,
118467,118468,Iep (cultuurvariëteit),478481,Ulmus `Dodoens`,Boom niet vrij uitgroeiend,tot 6 m.,2005,Gemeente Amsterdam,Stadsdeel Oost,Ulmus,Ulmus,M,1,POINT(5.001066 52.357072),POINT(52.357072 5.001066),5.001066,52.357072,
118468,118469,Iep (cultuurvariëteit),478480,Ulmus `Dodoens`,Boom niet vrij uitgroeiend,tot 6 m.,2005,Gemeente Amsterdam,Stadsdeel Oost,Ulmus,Ulmus,M,1,POINT(5.001031 52.357128),POINT(52.357128 5.001031),5.001031,52.357128,
118469,118470,Iep (cultuurvariëteit),478479,Ulmus `Dodoens`,Boom niet vrij uitgroeiend,tot 6 m.,2005,Gemeente Amsterdam,Stadsdeel Oost,Ulmus,Ulmus,M,1,POINT(5.000934 52.357142),POINT(52.357142 5.000934),5.000934,52.357142,
118470,118471,Iep (cultuurvariëteit),478478,Ulmus `Dodoens`,Boom niet vrij uitgroeiend,tot 6 m.,2005,Gemeente Amsterdam,Stadsdeel Oost,Ulmus,Ulmus,M,1,POINT(5.000898 52.3572),POINT(52.3572 5.000898),5.000898,52.3572,
118471,118472,Iep (cultuurvariëteit),478477,Ulmus `Dodoens`,Boom niet vrij uitgroeiend,6 tot 9 m.,2005,Gemeente Amsterdam,Stadsdeel Oost,Ulmus,Ulmus,M,2,POINT(5.000799 52.357213),POINT(52.357213 5.000799),5.000799,52.357213,
118472,118473,Iep (cultuurvariëteit),478476,Ulmus `Dodoens`,Boom niet vrij uitgroeiend,tot 6 m.,2005,Gemeente Amsterdam,Stadsdeel Oost,Ulmus,Ulmus,M,1,POINT(5.000765 52.35727),POINT(52.35727 5.000765),5.000765,52.35727,
