,OBJECTNUMMER,Soortnaam_NL,Boomnummer,Soortnaam_WTS,Boomtype,Boomhoogte,Plantjaar,Eigenaar,Beheerder,Categorie,SOORT_KORT,SDVIEW,RADIUS,WKT_LNG_LAT,WKT_LAT_LNG,LNG,LAT,Unnamed: 17
24920,234921,Huntingdon-iep,340907,Ulmus hollandica `Vegeta`,Boom niet vrij uitgroeiend,12 tot 15 m.,1960,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,4,POINT(4.898237 52.368709),POINT(52.368709 4.898237),4.898237,52.368709,
24921,234922,Huntingdon-iep,340906,Ulmus hollandica `Vegeta`,Boom niet vrij uitgroeiend,12 tot 15 m.,1970,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,4,POINT(4.89913 52.368515),POINT(52.368515 4.89913),4.89913,52.368515,
24922,234923,Hollandse iep (cultuurvariëteit),340905,Ulmus hollandica `Belgica`,Boom niet vrij uitgroeiend,12 tot 15 m.,1940,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,4,POINT(4.899232 52.368608),POINT(52.368608 4.899232),4.899232,52.368608,
24923,234924,Iep (cultuurvariëteit),340904,Ulmus `Plantijn`,Boom niet vrij uitgroeiend,12 tot 15 m.,1989,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,4,POINT(4.899306 52.368673),POINT(52.368673 4.899306),4.899306,52.368673,
24924,234925,Huntingdon-iep,340903,Ulmus hollandica `Vegeta`,Boom niet vrij uitgroeiend,15 tot 18 m.,1965,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,5,POINT(4.899972 52.368603),POINT(52.368603 4.899972),4.899972,52.368603,
24981,234982,Hollandse linde (cultuurvariëteit),339777,Tilia europaea `Zwarte Linde`,Boom niet vrij uitgroeiend,12 tot 15 m.,1985,Gemeente Amsterdam,Stadsdeel Centrum,Tilia,Tilia,A,4,POINT(4.899445 52.37016),POINT(52.37016 4.899445),4.899445,52.37016,
24982,234983,Huntingdon-iep,339776,Ulmus hollandica `Vegeta`,Boom niet vrij uitgroeiend,12 tot 15 m.,1980,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,4,POINT(4.898199 52.370155),POINT(52.370155 4.898199),4.898199,52.370155,
24984,234985,Gewone plataan,339774,Platanus hispanica,Leiboom,tot 6 m.,1992,Gemeente Amsterdam,Stadsdeel Centrum,Platanus,Platanus,A,1,POINT(4.900206 52.370177),POINT(52.370177 4.900206),4.900206,52.370177,
24986,234987,Valse acacia,339772,Robinia pseudoacacia,Boom niet vrij uitgroeiend,15 tot 18 m.,1970,Gemeente Amsterdam,Stadsdeel Centrum,Robinia,Robinia,A,5,POINT(4.899254 52.370195),POINT(52.370195 4.899254),4.899254,52.370195,
24987,234988,Gewone plataan,339771,Platanus hispanica,Leiboom,tot 6 m.,1992,Gemeente Amsterdam,Stadsdeel Centrum,Platanus,Platanus,A,1,POINT(4.900219 52.370209),POINT(52.370209 4.900219),4.900219,52.370209,
